container_id,container_name,slot,item_id,item_name,item_name_log,count,status,rank,augments,extdata
0,inventory,1,1449,T. Whiteshell,Tukuku whiteshell,37,0,,,000000000000000000000000000000000000000000000000
0,inventory,2,836,Damascene Cloth,square of damascene cloth,7,0,,,000000000000000000000000000000000000000000000000
0,inventory,3,1455,1 Byne Bill,one byne bill,35,0,,,000000000000000000000000000000000000000000000000
0,inventory,4,2956,H. Kindred Crest,High Kindred's crest,44,0,,,000000000000000000000000000000000000000000000000
0,inventory,5,4059,Pluton,pluton,99,0,,,000000000000000000000000000000000000000000000000
0,inventory,6,9539,Beastmen's Medal,beastmen's medal,16,0,,,000000000000000000000000000000000000000000000000
0,inventory,7,4059,Pluton,pluton,99,0,,,000000000000000000000000000000000000000000000000
0,inventory,8,21353,Happo Shuriken,happo shuriken,31,0,,,000000000000000000000000000000000000000000000000
0,inventory,9,2957,S. Kindred Crest,Sacred Kindred's crest,99,0,,,000000000000000000000000000000000000000000000000
0,inventory,10,8714,Mog Pell (Red),red mog pell,7,0,,,000000000000000000000000000000000000000000000000
0,inventory,11,2643,Jinko,jinko,46,0,,,000000000000000000000000000000000000000000000000
0,inventory,12,1125,Carbuncle's Ruby,Carbuncle's ruby,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,13,4164,Prism Powder,pinch of prism powder,6,0,,,000000000000000000000000000000000000000000000000
0,inventory,14,4165,Silent Oil,pot of silent oil,12,0,,,000000000000000000000000000000000000000000000000
0,inventory,15,1194,Shinobi-Tabi,shinobi-tabi,14,0,,,000000000000000000000000000000000000000000000000
0,inventory,16,6567,Tropical Crepe,tropical crepe,2,0,,,000000000000000000000000000000000000000000000000
0,inventory,17,1106,Whine Cellar Key,Whine Cellar key,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,18,18258,Thr. Tomahawk,throwing tomahawk,94,0,,,000000000000000000000000000000000000000000000000
0,inventory,19,8983,Arthro's Shell,Emperor Arthro's shell,8,0,,,000000000000000000000000000000000000000000000000
0,inventory,20,9877,Heroism Crystal,heroism crystal,53,0,,,000000000000000000000000000000000000000000000000
0,inventory,21,2957,S. Kindred Crest,Sacred Kindred's crest,46,0,,,000000000000000000000000000000000000000000000000
0,inventory,22,967,Eight of Cups,eight of cups card,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,23,8711,Copper Voucher,copper A.M.A.N. voucher,17,0,,,000000000000000000000000000000000000000000000000
0,inventory,24,515,Linkpearl,linkpearl,1,0,,,35BE00004B29B0FF04B4F0C904C820CA3F00000000000000
0,inventory,25,6500,Abdhaljs Seal,Abdhaljs seal,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,26,2553,Sanjaku-Tenugui,sanjaku-tenugui,27,0,,,000000000000000000000000000000000000000000000000
0,inventory,27,9158,Mog Pell (Ochre),ochre mog pell,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,28,515,Linkpearl,linkpearl,1,0,,,1CC10000545C01F5049CF1E23D54C5B01513FC0000000000
0,inventory,29,3525,Leviatite,leviatite,3,0,,,000000000000000000000000000000000000000000000000
0,inventory,30,1179,Shihei,shihei,74,0,,,000000000000000000000000000000000000000000000000
0,inventory,31,6608,Moogle Amp.,moogle amplifier,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,32,2644,Ryuno,ryuno,39,0,,,000000000000000000000000000000000000000000000000
0,inventory,33,3895,Rala Visage I,Rala visage I,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,34,2393,Fire Biscuit,fire biscuit,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,35,1452,O. Bronzepiece,Ordelle bronzepiece,6,0,,,000000000000000000000000000000000000000000000000
0,inventory,36,2955,Kindred's Crest,Kindred's crest,8,0,,,000000000000000000000000000000000000000000000000
0,inventory,37,5308,Toolbag (Uchi),toolbag (uchitake),2,0,,,000000000000000000000000000000000000000000000000
0,inventory,38,13744,Justaucorps,justaucorps,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,39,4043,Lavarion,lavarion,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,40,2490,Forbidden Key,forbidden key,13,0,,,000000000000000000000000000000000000000000000000
0,inventory,41,9210,Pellucid Stone,pellucid stone,37,0,,,000000000000000000000000000000000000000000000000
0,inventory,42,4153,Antacid,bottle of antacid,11,0,,,000000000000000000000000000000000000000000000000
0,inventory,43,1161,Uchitake,uchitake,90,0,,,000000000000000000000000000000000000000000000000
0,inventory,44,4154,Holy Water,flask of holy water,7,0,,,000000000000000000000000000000000000000000000000
0,inventory,45,4165,Silent Oil,pot of silent oil,6,0,,,000000000000000000000000000000000000000000000000
0,inventory,46,9211,Fern Stone,fern stone,59,0,,,000000000000000000000000000000000000000000000000
0,inventory,47,5314,Toolbag (Shihe),toolbag (shihei),3,0,,,000000000000000000000000000000000000000000000000
0,inventory,48,3501,Liminal Residue,pouch of liminal residue,23,0,,,000000000000000000000000000000000000000000000000
0,inventory,49,8966,Eudaemon Blade,eudaemon blade,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,50,4566,Deathball,deathball,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,51,9060,Ethereal Incense,stick of ethereal incense,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,52,3302,Aqua Geode,aqua geode,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,53,9049,Refractive Crystal,refractive crystal,7,0,,,000000000000000000000000000000000000000000000000
0,inventory,54,9084,Eschalixir,eschalixir,5,0,,,000000000000000000000000000000000000000000000000
0,inventory,55,2966,Bukhis's Wing,Bukhis's wing,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,56,3522,Garudite,garudite,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,57,9085,Eschalixir +1,eschalixir +1,3,0,,,000000000000000000000000000000000000000000000000
0,inventory,58,4120,X-Potion,x-potion,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,59,6391,Silt Pouch,silt pouch,3,0,,,000000000000000000000000000000000000000000000000
0,inventory,60,6343,Grape Daifuku,grape daifuku,12,0,,,000000000000000000000000000000000000000000000000
0,inventory,61,3520,Ifritite,ifritite,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,62,6343,Grape Daifuku,grape daifuku,12,0,,,000000000000000000000000000000000000000000000000
0,inventory,63,5103,Crusade,scroll of Crusade,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,64,6392,Bead Pouch,bead pouch,6,0,,,000000000000000000000000000000000000000000000000
0,inventory,65,3523,Titanite,titanite,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,66,6343,Grape Daifuku,grape daifuku,12,0,,,000000000000000000000000000000000000000000000000
0,inventory,68,2741,Seedspall Luna,Seedspall Luna,1,0,,,000000000000000000000000000000000000000000000000
0,inventory,70,2970,Mokujin,mokujin,51,0,,,000000000000000000000000000000000000000000000000
0,inventory,71,4059,Pluton,pluton,80,0,,,000000000000000000000000000000000000000000000000
0,inventory,72,2642,Kabenro,kabenro,60,0,,,000000000000000000000000000000000000000000000000
0,inventory,74,4061,Riftborn Boulder,riftborn boulder,41,0,,,000000000000000000000000000000000000000000000000
0,inventory,79,4060,Beitetsu,chunk of beitetsu,93,0,,,000000000000000000000000000000000000000000000000
0,inventory,80,3900,Faithful's Torso I,faithful's torso I,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,1,23751,Heidrek Boots,Heidrek boots,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,2,23748,Heidrek Brais,Heidrek brais,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,3,27251,Heath. Flanchard,heathen's flanchard,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,4,27245,Leth. Fuseau,lethargy fuseau,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,5,18612,Ram Staff,Ram staff,1,0,,,010100C8B821602600000000000000000000000000000000
8,wardrobe,6,23745,Heidrek Gloves,Heidrek gloves,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,7,26748,Lethargy Chappel,lethargy chappel,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,8,26913,Heath. Cuirass +1,heathen's cuirass +1,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,9,27077,Hattori Tekko +1,hattori tekko +1,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,10,12055,Bale Gauntlets,bale gauntlets,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,11,20710,Nibiru Blade,nibiru blade,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,12,23742,Heidrek Harness,Heidrek harness,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,13,17698,Princely Sword,princely sword,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,14,23739,Heidrek Mask,Heidrek mask,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,15,21748,Habilitator,Habilitator,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,16,22057,Contemplator,Contemplator,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,17,12095,Bale Sollerets,bale sollerets,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,18,26907,Lethargy Sayon +1,lethargy sayon +1,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,19,16482,Onion Dagger,onion dagger,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,20,27061,Leth. Gantherots +1,lethargy gantherots +1,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,21,20576,Qutrub Knife,Qutrub knife,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,22,27420,Leth. Houseaux +1,lethargy houseaux +1,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,23,17648,Dragvandil,Dragvandil,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,24,18913,Ark Sword,ark sword,1,0,,,010100C87A33281E00000000000000000000000000000000
8,wardrobe,25,17284,Chakram,chakram,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,26,20713,Excalipoor,Excalipoor,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,27,17074,Chocobo Wand,chocobo wand,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,30,14672,Tavnazian Ring,Tavnazian ring,1,0,,,010100C846E33A2200000000000000000000000000000000
8,wardrobe,33,14539,Kyudogi,kyudogi,1,0,,,000000000000000000000000000000000000000000000000
8,wardrobe,37,11287,Antares Harness,antares harness,1,0,,,000000000000000000000000000000000000000000000000
